-BEGIN HEADER-,,,,,
NASA/POWER Source Native Resolution Daily Data ,,,,,
Dates (month/day/year): 01/01/2022 through 12/31/2025 in LST,,,,,
Location: latitude  22.57   longitude 88.36 ,,,,,
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 7.35 meters,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,
parameter(s): ,,,,,
T2M                   MERRA-2 Temperature at 2 Meters (C) ,,,,,
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) ,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,
-END HEADER-,,,,,
YEAR,MO,DY,T2M,WS10M,ALLSKY_SFC_SW_DWN
2022,1,1,16.42,3.11,3.8714
2022,1,2,15.76,3.19,3.8057
2022,1,3,15.86,2.83,4.1153
2022,1,4,15.28,2.9,4.0306
2022,1,5,15.54,2.49,4.0258
2022,1,6,17.31,1.71,4.0104
2022,1,7,17.76,2.31,4.0322
2022,1,8,18.44,2.09,4.2809
2022,1,9,19.57,1.4,4.332
2022,1,10,20.32,0.97,3.5266
2022,1,11,19.97,1.88,3.1493
2022,1,12,18.43,1.79,1.656
2022,1,13,18.29,2.31,3.1416
2022,1,14,17.65,2.86,1.0111
2022,1,15,16.62,3.03,3.3394
2022,1,16,15.77,3.91,3.8597
2022,1,17,14.31,3.21,3.9329
2022,1,18,14.06,2.81,4.1234
2022,1,19,15.36,2.72,4.0121
2022,1,20,15.96,2.09,3.7354
2022,1,21,18.32,0.91,2.7811
2022,1,22,19.09,2.01,2.1391
2022,1,23,19.83,3.06,1.7753
2022,1,24,19.14,2.18,1.9973
2022,1,25,19.27,1.1,3.491
2022,1,26,18.65,1.77,3.067
2022,1,27,16.39,3.3,3.5114
2022,1,28,13.99,2.87,4.1352
2022,1,29,13.6,3.18,4.2742
2022,1,30,15.09,2.11,4.3495
2022,1,31,17.23,2.22,4.5936
2022,2,1,18.44,2.15,4.4861
2022,2,2,19.9,0.93,4.4983
2022,2,3,19.78,3.24,3.271
2022,2,4,21,5.63,1.1582
2022,2,5,17.42,3.72,4.8036
2022,2,6,15.97,2.09,5.0446
2022,2,7,16.89,1.34,4.7666
2022,2,8,18.51,1.14,4.3728
2022,2,9,19.53,1.3,3.8378
2022,2,10,20.15,2.51,1.9762
2022,2,11,19.01,3.12,3.0504
2022,2,12,17.77,1.99,4.7671
2022,2,13,17.14,2.74,5.4912
2022,2,14,17.72,2.56,5.3486
2022,2,15,18.45,1.99,5.4432
2022,2,16,18.7,2.01,5.0981
2022,2,17,19.98,2.13,4.5118
2022,2,18,19.76,2.15,4.5799
2022,2,19,19.71,2.19,5.0585
2022,2,20,20.55,3.25,2.0561
2022,2,21,20.09,2.66,4.8046
2022,2,22,21.52,1.7,4.1892
2022,2,23,22.22,1.46,4.5271
2022,2,24,22.22,3.32,4.7314
2022,2,25,22.82,2.86,3.3074
2022,2,26,23.71,1.64,5.3359
2022,2,27,24.24,1.63,4.5965
2022,2,28,24.04,2.79,5.3198
2022,3,1,24.07,1.96,4.5218
2022,3,2,23.84,2.14,5.095
2022,3,3,23.48,1.78,5.2553
2022,3,4,23.24,2.08,5.2622
2022,3,5,23.82,2.58,5.1754
2022,3,6,23.84,2.25,5.4494
2022,3,7,22.3,3.22,5.7912
2022,3,8,22.87,2.95,5.8339
2022,3,9,23.39,2.62,5.8553
2022,3,10,23.56,2.52,5.9561
2022,3,11,23.72,2.8,5.4449
2022,3,12,24.42,2.59,5.9436
2022,3,13,24.03,2.68,6.2712
2022,3,14,24.82,2.7,6.3413
2022,3,15,25.89,2.31,6.2609
2022,3,16,26.16,3.71,6.0338
2022,3,17,27.03,3.77,6.0329
2022,3,18,26.94,3.17,6.2474
2022,3,19,26.68,3.32,6.5054
2022,3,20,26.92,3.13,6.491
2022,3,21,28.14,3.34,5.9354
2022,3,22,28.91,2.68,5.5116
2022,3,23,29.17,3.22,4.7966
2022,3,24,29.08,4.56,5.5051
2022,3,25,29.09,5.42,4.2943
2022,3,26,29.68,4.81,3.6408
2022,3,27,30.09,1.77,4.9966
2022,3,28,29.51,3.33,6.0634
2022,3,29,29.68,3.92,5.8877
2022,3,30,29.57,4.8,5.2397
2022,3,31,29.86,5.22,5.1871
2022,4,1,30.16,5.97,4.9526
2022,4,2,30.16,5.45,4.1638
2022,4,3,30.01,5.12,5.2493
2022,4,4,30.38,6.85,5.1542
2022,4,5,30.1,5.86,5.545
2022,4,6,30.04,5.1,5.484
2022,4,7,30.54,4.6,6.006
2022,4,8,30.67,5.07,6.2014
2022,4,9,31.07,4.86,6.2654
2022,4,10,31.07,5.97,6.1426
2022,4,11,31.67,5.2,6.0835
2022,4,12,31.39,4.7,5.311
2022,4,13,31.06,5.79,5.9678
2022,4,14,32.09,5.45,5.3678
2022,4,15,33.32,4.65,5.731
2022,4,16,33.03,4.84,5.3369
2022,4,17,32.73,5.04,6.1932
2022,4,18,32.67,4.45,6.4802
2022,4,19,31.94,5.6,5.9086
2022,4,20,32.23,5.44,5.131
2022,4,21,31.51,4.43,5.4134
2022,4,22,32.27,4.07,4.6104
2022,4,23,33.29,4.03,6.2328
2022,4,24,33.82,3.92,6.6127
2022,4,25,33.79,3.55,6.4987
2022,4,26,33.51,5.14,6.4003
2022,4,27,33.3,5.29,6.385
2022,4,28,33.99,4.67,6.443
2022,4,29,33.92,5.08,6.1286
2022,4,30,32.8,5.43,4.7952
2022,5,1,31.04,3.95,5.5546
2022,5,2,30.07,4.23,5.4331
2022,5,3,29.69,4.09,3.845
2022,5,4,30.26,3.51,5.9201
2022,5,5,30.06,1.89,5.0971
2022,5,6,30.25,2.03,6.8045
2022,5,7,31.38,1.85,6.4265
2022,5,8,30.88,2.83,6.3089
2022,5,9,29.51,4.5,3.0617
2022,5,10,28.59,4.48,4.7309
2022,5,11,29.48,5.26,3.8477
2022,5,12,30.2,6.2,5.2733
2022,5,13,30.72,7.73,5.0916
2022,5,14,31.15,8.2,6.4042
2022,5,15,29.99,7.38,5.964
2022,5,16,30,6.81,5.9597
2022,5,17,29.58,6.37,6.2246
2022,5,18,29.79,5.91,5.9496
2022,5,19,31.01,6.18,3.9418
2022,5,20,31.3,6.03,6.6384
2022,5,21,30.96,5.07,5.7377
2022,5,22,30.01,4.94,3.3019
2022,5,23,30.81,2.79,6.4212
2022,5,24,31.34,1.54,6.053
2022,5,25,31.29,2.86,6.2866
2022,5,26,31.8,3.51,5.8826
2022,5,27,32.09,3.81,6.1337
2022,5,28,32.65,2.13,6.3686
2022,5,29,32.9,2.13,4.1218
2022,5,30,31.15,2.85,5.2776
2022,5,31,31.13,2.77,4.6714
2022,6,1,30.41,3.37,3.5669
2022,6,2,31.09,4.14,3.9564
2022,6,3,30.19,4.85,3.6948
2022,6,4,30.97,5.77,5.1787
2022,6,5,31.22,5.71,5.7293
2022,6,6,31.24,5.66,5.3057
2022,6,7,31.74,5.44,5.8387
2022,6,8,30.49,5.3,4.4568
2022,6,9,31.21,5.33,4.2475
2022,6,10,30.27,5.29,3.901
2022,6,11,30.28,5.65,2.9604
2022,6,12,30.62,5.19,5.1854
2022,6,13,31.62,6.16,5.527
2022,6,14,30.43,6.84,5.3424
2022,6,15,30.05,5.95,3.1795
2022,6,16,29.52,6.52,4.2684
2022,6,17,29.11,6.8,4.049
2022,6,18,28.68,6.69,2.4857
2022,6,19,28.71,6.15,4.297
2022,6,20,28.3,6.07,3.9
2022,6,21,28.45,3.72,5.1559
2022,6,22,28.03,3.2,3.2359
2022,6,23,28.94,2.91,4.7722
2022,6,24,28.85,4,4.0195
2022,6,25,29.32,4.51,4.3394
2022,6,26,29.11,4.22,5.4775
2022,6,27,29.52,4.03,6.2198
2022,6,28,29.41,4.02,5.5889
2022,6,29,29.39,3.92,4.4654
2022,6,30,29.21,2.86,3.4049
2022,7,1,29.2,3.1,3.4733
2022,7,2,28.76,1.94,4.2413
2022,7,3,28.53,2.84,3.8129
2022,7,4,29.11,2.39,5.4538
2022,7,5,29.29,3.06,5.2783
2022,7,6,28.48,3.78,4.0346
2022,7,7,28.81,3.48,5.772
2022,7,8,28.75,4.03,5.1031
2022,7,9,28.84,4.55,5.5951
2022,7,10,28.96,4.49,5.0707
2022,7,11,28.79,5.69,4.9224
2022,7,12,29.24,6.24,5.2073
2022,7,13,29.34,6.47,5.0484
2022,7,14,28.55,5.78,4.7681
2022,7,15,29.16,5.57,5.3407
2022,7,16,29.34,5.45,4.9315
2022,7,17,29.31,6.23,5.161
2022,7,18,29.3,5.25,5.2409
2022,7,19,29.16,4.64,5.0378
2022,7,20,29.73,4.32,4.8624
2022,7,21,29.73,3.03,4.0128
2022,7,22,28.69,2.61,4.5775
2022,7,23,28.62,3.99,3.295
2022,7,24,28.04,4.3,2.4566
2022,7,25,27.89,4.33,3.6038
2022,7,26,28.19,3.12,4.6229
2022,7,27,28.42,2.75,5.4566
2022,7,28,28.53,1.86,5.3626
2022,7,29,29.16,2.56,5.4727
2022,7,30,28.89,3.5,5.772
2022,7,31,28.63,3.73,3.9708
2022,8,1,28.83,3.05,3.137
2022,8,2,29.54,2.24,3.6658
2022,8,3,28.56,2.28,2.5459
2022,8,4,28.98,2.34,4.793
2022,8,5,29.13,2.83,4.2264
2022,8,6,28.78,2.34,4.0462
2022,8,7,29.17,3.62,5.2426
2022,8,8,28.39,5.22,3.7116
2022,8,9,28.06,6.26,4.0382
2022,8,10,27.8,5.46,2.8322
2022,8,11,27.65,2.66,3.3941
2022,8,12,28.68,1.81,5.0705
2022,8,13,28.98,3.25,5.1086
2022,8,14,27.74,7.36,1.7976
2022,8,15,27.82,6.47,3.3936
2022,8,16,28.85,3,5.7562
2022,8,17,28.96,2.69,5.845
2022,8,18,28.56,3.28,4.7957
2022,8,19,28.25,5.77,2.2186
2022,8,20,27.59,7.77,2.9731
2022,8,21,28.45,3.93,4.505
2022,8,22,28.93,2.04,5.4518
2022,8,23,28.24,1.69,3.27
2022,8,24,28.05,3.8,3.2462
2022,8,25,28.33,3.81,4.9757
2022,8,26,28.13,3.17,5.2421
2022,8,27,27.96,4.41,4.0702
2022,8,28,27.98,4.55,4.1282
2022,8,29,28.41,3.08,5.567
2022,8,30,28.66,2.14,6.3557
2022,8,31,28.54,2.99,5.7816
2022,9,1,28.04,3.15,5.3256
2022,9,2,28.23,3.02,5.9834
2022,9,3,28.73,3.65,4.8962
2022,9,4,28.62,3.02,4.3826
2022,9,5,28.56,2.39,4.223
2022,9,6,28.65,1.49,3.8359
2022,9,7,28.19,2.19,5.4528
2022,9,8,28.74,2.69,6.0362
2022,9,9,27.92,2.88,4.4842
2022,9,10,27.39,3.76,4.2197
2022,9,11,27.21,4.79,2.6422
2022,9,12,27.61,4.91,0.9655
2022,9,13,27.66,5.33,1.3934
2022,9,14,27.2,4.54,2.5042
2022,9,15,27.66,2.48,2.8282
2022,9,16,27.81,2.79,4.0306
2022,9,17,27.64,2.88,2.6419
2022,9,18,27.98,1.6,4.9322
2022,9,19,27.94,3.26,4.2396
2022,9,20,27.69,5.12,3.7442
2022,9,21,27.87,4.12,4.2912
2022,9,22,28,3.46,4.8274
2022,9,23,27.89,3.56,4.8096
2022,9,24,27.8,2.92,5.0978
2022,9,25,27.48,2.12,4.8281
2022,9,26,27.96,1.7,4.9306
2022,9,27,27.83,1.18,4.9546
2022,9,28,28.21,1.35,4.284
2022,9,29,28.42,1.3,5.3155
2022,9,30,28.29,1.85,4.8468
2022,10,1,28.3,1.52,4.4424
2022,10,2,26.67,2.11,2.5553
2022,10,3,27.26,2.78,2.7749
2022,10,4,27.43,3.83,4.3682
2022,10,5,27.51,3.2,4.0368
2022,10,6,27.1,2.91,4.2269
2022,10,7,27.04,1.77,4.8686
2022,10,8,27.55,1.58,5.6352
2022,10,9,26.82,2.28,5.1838
2022,10,10,26.55,2.25,5.2058
2022,10,11,26.8,3.02,4.5655
2022,10,12,27.05,2.26,4.3913
2022,10,13,26.71,1.73,4.9234
2022,10,14,27.53,0.91,4.2912
2022,10,15,27.18,1.98,5.459
2022,10,16,26.11,2.56,5.443
2022,10,17,26.2,2.33,5.5723
2022,10,18,26.65,2.2,4.9092
2022,10,19,25.82,2.53,3.6406
2022,10,20,25.05,3.5,5.0669
2022,10,21,24.55,3.4,5.2613
2022,10,22,25.41,3.62,5.4382
2022,10,23,24.72,3.32,3.0372
2022,10,24,23.47,6.84,0.8441
2022,10,25,25.14,2.68,4.9891
2022,10,26,25.95,1.71,5.0448
2022,10,27,25.44,1.77,4.4076
2022,10,28,23.75,2.44,4.2852
2022,10,29,23.02,2.39,4.879
2022,10,30,23.54,2.34,5.1389
2022,10,31,24.12,2.26,5.021
2022,11,1,24.45,2.45,5.125
2022,11,2,24.37,2.82,4.8382
2022,11,3,23.15,2.48,3.6163
2022,11,4,23.39,1.79,4.4131
2022,11,5,24.34,1.44,4.2821
2022,11,6,23.98,1.53,4.4345
2022,11,7,23.39,1.8,4.2396
2022,11,8,23.25,1.94,3.8626
2022,11,9,23.32,2.21,4.0898
2022,11,10,23.44,2.17,4.1544
2022,11,11,22.41,2.32,4.35
2022,11,12,22.01,2.78,4.0663
2022,11,13,20.56,2.8,4.2408
2022,11,14,19.78,2.69,4.4501
2022,11,15,19.72,2.55,4.5598
2022,11,16,19.73,2.54,4.4395
2022,11,17,20.59,2.81,4.2415
2022,11,18,19.79,3.5,3.8849
2022,11,19,18.69,3.49,3.9739
2022,11,20,19.93,3.15,3.8304
2022,11,21,19.55,3.15,4.3764
2022,11,22,19.05,2.95,4.2115
2022,11,23,18.81,2.99,4.0238
2022,11,24,18.34,3.02,4.0042
2022,11,25,17.95,3.32,4.1705
2022,11,26,18.42,2.73,4.1575
2022,11,27,18.99,2.2,4.1194
2022,11,28,19.62,2.34,4.1016
2022,11,29,20.75,2.48,3.5854
2022,11,30,20.94,2.96,3.9454
2022,12,1,19.75,3.3,4.103
2022,12,2,18.28,3.11,3.8119
2022,12,3,17.39,2.94,3.8369
2022,12,4,17.65,3.05,3.8995
2022,12,5,17.53,3.05,3.8647
2022,12,6,17.22,3.25,3.8206
2022,12,7,16.66,2.99,3.3427
2022,12,8,16.62,3.16,3.2292
2022,12,9,17.56,2.51,3.7164
2022,12,10,18.53,2.7,3.1193
2022,12,11,18.77,2.59,3.7519
2022,12,12,19.22,2.17,3.4294
2022,12,13,20.02,2.17,3.2098
2022,12,14,19.47,2.82,3.635
2022,12,15,18.43,2.5,3.7898
2022,12,16,17.26,2.92,4.1988
2022,12,17,16.21,3.02,3.9084
2022,12,18,16.26,2.96,2.9081
2022,12,19,17.75,2.9,3.2606
2022,12,20,17.72,2.58,3.1661
2022,12,21,17.32,2.71,3.1742
2022,12,22,17.15,2.41,2.8363
2022,12,23,18.56,2.12,3.6706
2022,12,24,19.54,1.71,3.7769
2022,12,25,19.64,2.51,3.4826
2022,12,26,21.06,2.27,3.6667
2022,12,27,21.94,2.49,3.0691
2022,12,28,19.82,2.86,2.3004
2022,12,29,17.01,2.4,3.372
2022,12,30,17.01,2.18,3.2959
2022,12,31,19.01,1.15,3.0307
2023,1,1,18.4,1.94,2.2951
2023,1,2,17.99,2.39,2.3107
2023,1,3,16.9,2.93,2.5044
2023,1,4,15.67,3.46,2.2973
2023,1,5,15.51,3.74,3.1843
2023,1,6,14.83,3.97,4.1141
2023,1,7,14.73,3.76,3.8414
2023,1,8,15.46,3.37,3.6252
2023,1,9,16.38,3.26,4.0282
2023,1,10,16.6,3.27,4.127
2023,1,11,16,3.1,3.8993
2023,1,12,17.09,2.33,4.0824
2023,1,13,19.29,1.8,3.1925
2023,1,14,20.47,2.17,2.6191
2023,1,15,20.02,2.35,2.5378
2023,1,16,18.65,2.56,2.7895
2023,1,17,18.49,2.24,2.424
2023,1,18,17.91,2.26,1.6769
2023,1,19,17.74,2.7,2.1324
2023,1,20,17.94,2.23,3.2278
2023,1,21,19.82,1.88,3.2796
2023,1,22,20.54,2.12,2.9942
2023,1,23,21.13,2.6,2.8102
2023,1,24,22.18,1.88,2.5726
2023,1,25,22.42,1.83,2.9453
2023,1,26,22.42,2.31,3.666
2023,1,27,22.43,3.13,4.0018
2023,1,28,21.79,3.19,4.0166
2023,1,29,20.95,3.18,4.4832
2023,1,30,21.18,2.6,4.3555
2023,1,31,20.79,3.43,3.0444
2023,2,1,21.43,4.05,3.241
2023,2,2,19.19,3.7,5.0424
2023,2,3,18.37,3.77,4.8953
2023,2,4,19.1,3.06,4.5062
2023,2,5,20.68,2.56,4.8974
2023,2,6,21.24,2.69,4.8612
2023,2,7,22.22,2.95,4.5955
2023,2,8,22.83,3.16,4.5454
2023,2,9,22.68,1.96,4.013
2023,2,10,21.93,2.34,4.6462
2023,2,11,23.73,3.36,4.5773
2023,2,12,23.51,3.36,4.9181
2023,2,13,20.88,3.39,5.9846
2023,2,14,21.22,2.12,5.5099
2023,2,15,21.01,1.91,5.0834
2023,2,16,22.37,1.24,4.7786
2023,2,17,22.7,1.67,3.2861
2023,2,18,23.08,2.01,2.6546
2023,2,19,23.83,2.23,3.7663
2023,2,20,24.74,2.89,4.0217
2023,2,21,25.7,3.33,4.1352
2023,2,22,26.35,4.51,4.967
2023,2,23,26.33,2.48,5.1991
2023,2,24,26.69,2.57,4.5437
2023,2,25,26.36,1.92,4.2355
2023,2,26,26.01,1.84,4.9558
2023,2,27,26.08,2.31,4.9193
2023,2,28,26.07,2.39,5.1365
2023,3,1,26.78,1.97,5.2591
2023,3,2,27.03,2.62,5.4019
2023,3,3,27.12,2.86,5.6052
2023,3,4,27.45,3.14,4.9349
2023,3,5,27.48,3.4,6.0269
2023,3,6,27.79,2.77,5.585
2023,3,7,28.21,2.21,5.5003
2023,3,8,28.61,1.72,4.2893
2023,3,9,27.55,2.22,4.3003
2023,3,10,27.37,1.99,2.6899
2023,3,11,28.06,1.92,3.6086
2023,3,12,28.68,1.93,4.9637
2023,3,13,29.21,1.88,5.0117
2023,3,14,28.59,4.13,3.7061
2023,3,15,28.85,3.38,3.8275
2023,3,16,26.54,3.88,3.7745
2023,3,17,25.9,2.75,1.907
2023,3,18,26.54,2.42,2.8613
2023,3,19,23.69,3.59,2.4518
2023,3,20,25.3,4.16,4.2979
2023,3,21,26.55,2.8,4.7477
2023,3,22,26.55,2.51,5.694
2023,3,23,27.44,2.11,4.992
2023,3,24,27.57,2.19,5.3074
2023,3,25,28.84,3.21,5.3326
2023,3,26,29.21,3.74,5.3136
2023,3,27,28.79,2.91,4.1124
2023,3,28,29.48,2.34,5.6698
2023,3,29,29.54,4.04,5.2195
2023,3,30,29.36,4.08,5.2673
2023,3,31,27.8,3.13,2.6818
2023,4,1,25.88,2.37,3.115
2023,4,2,27.55,2.93,6.2837
2023,4,3,29.01,3.27,6.3355
2023,4,4,29.86,3.38,6.2995
2023,4,5,30.51,3.62,5.9866
2023,4,6,30.3,2.28,6.5477
2023,4,7,30.39,2.43,6.5213
2023,4,8,30.35,2.5,6.2542
2023,4,9,30.91,2.71,6.1932
2023,4,10,31.57,2.2,5.9762
2023,4,11,31.86,2.54,6.0984
2023,4,12,31.06,3.08,7.1278
2023,4,13,32.06,3.19,7.2535
2023,4,14,33.68,2.53,6.6857
2023,4,15,33.89,1.92,5.6208
